"filename", "language", "JavaScript JSX", "JavaScript", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\home-components\FAQ.jsx", "JavaScript JSX", 52, 0, 0, 0, 0, 5, 57
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\home-components\Features.jsx", "JavaScript JSX", 62, 0, 0, 0, 0, 2, 64
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\home-components\Hero.jsx", "JavaScript JSX", 57, 0, 0, 0, 0, 2, 59
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\home-components\HowItWorks.jsx", "JavaScript JSX", 27, 0, 0, 0, 0, 2, 29
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\home-components\Partners.jsx", "JavaScript JSX", 46, 0, 0, 0, 0, 1, 47
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\home-components\Reviewers.jsx", "JavaScript JSX", 27, 0, 0, 0, 0, 2, 29
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\home-components\Security.jsx", "JavaScript JSX", 59, 0, 0, 0, 0, 6, 65
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\home-components\Slider.jsx", "JavaScript JSX", 45, 0, 0, 0, 0, 2, 47
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\AnimatedError.jsx", "JavaScript JSX", 39, 0, 0, 0, 0, 4, 43
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\BackToTop.jsx", "JavaScript JSX", 30, 0, 0, 0, 0, 5, 35
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\ErrorPage.jsx", "JavaScript JSX", 25, 0, 0, 0, 0, 6, 31
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\Footer.jsx", "JavaScript JSX", 83, 0, 0, 0, 0, 3, 86
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\Header.jsx", "JavaScript JSX", 108, 0, 0, 0, 0, 8, 116
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\Loader.jsx", "JavaScript JSX", 17, 0, 0, 0, 0, 4, 21
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\Page.jsx", "JavaScript JSX", 16, 0, 0, 0, 0, 2, 18
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\Separator.jsx", "JavaScript JSX", 19, 0, 0, 0, 0, 1, 20
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\checkbox\FormikCheckbox.jsx", "JavaScript JSX", 34, 0, 0, 0, 0, 4, 38
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\checkbox\SimpleСheckBox.jsx", "JavaScript JSX", 30, 0, 0, 0, 0, 2, 32
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\nav\PrivateRoute.jsx", "JavaScript JSX", 10, 0, 0, 0, 0, 4, 14
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\nav\PublicRoute.jsx", "JavaScript JSX", 10, 0, 0, 0, 0, 4, 14
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\user\DeleteUserModal.jsx", "JavaScript JSX", 180, 0, 0, 0, 0, 6, 186
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\user\LogoutUserModal.jsx", "JavaScript JSX", 83, 0, 0, 0, 0, 4, 87
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\user\UpdateUserModal.jsx", "JavaScript JSX", 244, 0, 0, 0, 0, 10, 254
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\register-components\RegisterFirstStep.jsx", "JavaScript JSX", 197, 0, 0, 0, 0, 10, 207
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\register-components\RegisterSecondStep.jsx", "JavaScript JSX", 79, 0, 0, 0, 0, 4, 83
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\register-components\RegisterThirdStep.jsx", "JavaScript JSX", 25, 0, 0, 0, 0, 2, 27
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\config\blockedPublicPaths.jsx", "JavaScript JSX", 1, 0, 0, 0, 0, 1, 2
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\config\routes.js", "JavaScript", 0, 76, 0, 0, 0, 12, 88
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\advantages.jsx", "JavaScript JSX", 52, 0, 0, 0, 0, 2, 54
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\faqs.jsx", "JavaScript JSX", 64, 0, 0, 0, 0, 1, 65
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\filterAndSortData.jsx", "JavaScript JSX", 30, 0, 0, 0, 0, 5, 35
